Date,Price
 1-Jun-20 ,67.59
 2-Jun-20 ,67.59
 3-Jun-20 ,68.47
 4-Jun-20 ,68.38
 8-Jun-20 ,68.38
 9-Jun-20 ,69.06
 10-Jun-20 ,68.57
 11-Jun-20 ,68.67
 12-Jun-20 ,68.57
 15-Jun-20 ,68.47
 16-Jun-20 ,68.57
 17-Jun-20 ,70.43
 18-Jun-20 ,71.9
 19-Jun-20 ,72.49
 22-Jun-20 ,75.43
 23-Jun-20 ,75.43
 24-Jun-20 ,76.41
 25-Jun-20 ,76.12
 26-Jun-20 ,75.92
 29-Jun-20 ,75.33
 30-Jun-20 ,75.33
 1-Jul-20 ,75.43
 2-Jul-20 ,74.45
 3-Jul-20 ,72.49
 6-Jul-20 ,72.29
 7-Jul-20 ,72.59
 8-Jul-20 ,72.39
 9-Jul-20 ,71.22
 10-Jul-20 ,69.26
 13-Jul-20 ,68.28
 14-Jul-20 ,70.73
 15-Jul-20 ,70.04
 16-Jul-20 ,70.53
 17-Jul-20 ,72.39
 20-Jul-20 ,72.88
 21-Jul-20 ,72.88
 22-Jul-20 ,71.51
 23-Jul-20 ,72.39
 24-Jul-20 ,71.51
 27-Jul-20 ,71.9
 28-Jul-20 ,71.51
 29-Jul-20 ,70.34
 30-Jul-20 ,70.04
 31-Jul-20 ,69.94
 4-Aug-20 ,70.53
 5-Aug-20 ,71.51
 6-Aug-20 ,71.51
 7-Aug-20 ,72.49
 10-Aug-20 ,70.53
 11-Aug-20 ,70.53
 12-Aug-20 ,72.49
 13-Aug-20 ,73.37
 14-Aug-20 ,77.39
 17-Aug-20 ,78.27
 18-Aug-20 ,77.39
 19-Aug-20 ,81.31
 20-Aug-20 ,82.78
 21-Aug-20 ,87.18
 24-Aug-20 ,87.28
 25-Aug-20 ,86.99
 26-Aug-20 ,85.32
 27-Aug-20 ,84.83
 28-Aug-20 ,84.83
 31-Aug-20 ,85.32
 2-Sep-20 ,83.36
 3-Sep-20 ,83.27
 4-Sep-20 ,83.27
 7-Sep-20 ,81.31
 8-Sep-20 ,81.31
 9-Sep-20 ,83.27
 10-Sep-20 ,84.25
 11-Sep-20 ,84.15
 14-Sep-20 ,83.27
 15-Sep-20 ,83.56
 16-Sep-20 ,85.72
 17-Sep-20 ,89.63
 18-Sep-20 ,89.14
 21-Sep-20 ,91.1
 22-Sep-20 ,89.73
 23-Sep-20 ,88.65
 24-Sep-20 ,89.14
 25-Sep-20 ,89.14
 28-Sep-20 ,89.05
 29-Sep-20 ,88.16
 30-Sep-20 ,87.09
